[0] Training Error = 0.018167
[1] Training Error = 0.016733
[2] Training Error = 0.032383
[3] Training Error = 0.040767
[4] Training Error = 0.036200
[5] Training Error = 0.051983
[6] Training Error = 0.022450
[7] Training Error = 0.026517
[8] Training Error = 0.044883
[9] Training Error = 0.051483
[0] Coefficients:
COEFF   -0.102833,205,128
COEFF   0.124691,678,64
COEFF   -0.121368,456,0
COEFF   0.104335,326,0
COEFF   -0.098307,573,0
COEFF   0.106317,267,0
COEFF   0.116391,537,0
COEFF   -0.109188,291,64
COEFF   0.093245,495,0
COEFF   -0.091718,315,64
COEFF   0.124190,200,0
COEFF   -0.095619,399,0
COEFF   0.082390,380,192
COEFF   0.079754,677,0
COEFF   -0.098565,218,0
COEFF   -0.082012,489,0
COEFF   -0.085323,350,128
COEFF   0.090986,322,192
COEFF   -0.081295,465,192
COEFF   0.082102,272,192
COEFF   0.075648,378,0
COEFF   0.078186,99,0
COEFF   -0.091037,571,128
COEFF   0.075115,241,0
COEFF   0.071001,479,0
COEFF   -0.089624,316,128
COEFF   -0.065932,158,0
[3] guessed 9598 out of 10000 (95.980000%)
[3] Test Error = 0.040200
[4] Coefficients:
COEFF   1.113416,0,0
COEFF   -0.588953,211,0
COEFF   0.522368,429,64
COEFF   -0.451614,570,0
COEFF   0.339137,463,192
COEFF   0.367872,426,128
COEFF   -0.280281,602,0
COEFF   0.313948,374,0
COEFF   -0.242745,551,0
COEFF   -0.254183,237,0
COEFF   0.239587,437,192
COEFF   0.254005,163,0
COEFF   -0.256732,596,0
COEFF   0.189470,190,0
COEFF   0.178772,353,0
COEFF   -0.162236,600,0
COEFF   0.194591,347,128
COEFF   0.163697,399,128
COEFF   -0.176449,577,0
COEFF   -0.150102,240,64
COEFF   -0.136155,208,64
COEFF   0.131641,380,192
COEFF   -0.128424,628,0
COEFF   0.144657,396,128
COEFF   -0.155788,322,128
COEFF   0.114413,490,192
COEFF   0.110733,375,64
COEFF   0.115079,372,128
COEFF   -0.122761,429,128
COEFF   -0.117250,569,0
COEFF   0.129091,424,192
COEFF   -0.136154,206,64
COEFF   -0.126309,266,0
COEFF   0.111209,460,64
COEFF   0.098915,320,192
COEFF   -0.109127,125,0
COEFF   0.126342,663,64
COEFF   -0.113694,214,192
COEFF   0.099593,456,128
COEFF   0.098179,403,64
COEFF   0.088357,519,128
COEFF   -0.080427,300,0
COEFF   0.091224,397,192
COEFF   -0.111243,124,0
COEFF   -0.092239,295,0
COEFF   0.092272,732,64
COEFF   -0.105483,580,0
COEFF   -0.085053,406,0
COEFF   -0.078144,712,0
COEFF   0.101652,396,192
[4] guessed 9652 out of 10000 (96.520000%)
[4] Test Error = 0.034800
[5] Coefficients:
COEFF   1.203327,221,0
COEFF   -0.412632,326,0
COEFF   0.386028,347,64
COEFF   0.340018,162,0
COEFF   -0.351957,489,0
COEFF   0.208178,276,0
COEFF   -0.297627,357,0
COEFF   -0.247418,408,0
COEFF   -0.204363,574,64
COEFF   0.195564,376,128
COEFF   -0.183979,486,64
COEFF   0.200744,191,0
COEFF   -0.145043,455,128
COEFF   0.163960,289,64
COEFF   -0.147500,240,0
COEFF   0.121470,321,64
COEFF   -0.109330,381,64
COEFF   0.109162,402,128
COEFF   -0.113805,328,64
COEFF   0.164340,305,0
COEFF   -0.147565,358,64
COEFF   0.148990,538,0
COEFF   -0.117979,435,64
COEFF   0.110791,290,0
COEFF   -0.118670,549,0
COEFF   -0.104308,299,0
COEFF   -0.102469,183,0
COEFF   -0.101009,386,0
COEFF   0.133984,609,128
COEFF   -0.106125,515,64
COEFF   0.111457,188,0
COEFF   -0.097288,456,64
